OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
COLMAR-LONS LE SAUNIER;15.0;60.0;77.0;
MULHOUSE VILLE-BOURG EN BRESSE;20.0;64.0;82.0;
DIJON VILLE-CARCASSONNE;25.0;107.0;141.0;
BEZIERS-CHALON SUR SAONE;20.0;81.0;107.0;
DIJON VILLE-CANNES;25.0;124.0;161.0;
DIJON VILLE-NICE VILLE;25.0;124.0;161.0;
BESANCON VIOTTE-AVIGNON TGV;20.0;91.0;120.0;
METZ VILLE-TOULON;20.0;132.0;168.0;
NANCY VILLE-CANNES;20.0;135.0;175.0;
NANCY VILLE-NANTES;25.0;121.0;158.0;
LAMBALLE-AEROPORT CDG 2 TGV ROISSY;20.0;84.0;122.0;
PARIS NORD-VALENCE TGV;25.0;107.0;147.0;
PARIS MONTPARNASSE 1 ET 2-SETE;25.0;116.0;162.0;
PARIS MONTPARNASSE 1 ET 2-NARBONNE;25.0;116.0;162.0;
PARIS NORD-LES ARCS DRAGUIGNAN;25.0;132.0;185.0;
AEROPORT CDG 2 TGV ROISSY-MOUTIERS SALINS BRIDES;25.0;118.0;159.0;
AEROPORT CDG 2 TGV ROISSY-ANNECY;25.0;104.0;140.0;
MASSY TGV-ST GERVAIS LES BAINS LE FAYET;25.0;119.0;163.0;
MACON LOCHE TGV-MARNE LA VALLEE CHESSY;20.0;83.0;120.0;
MARNE LA VALLEE CHESSY-BELFORT-MONTBELIARD TGV;20.0;97.0;126.0;
ARLES-MACON LOCHE TGV;20.0;61.0;86.0;
COLMAR-PARIS GARE DE LYON;;112.0;150.0;
AEROPORT CDG 2 TGV ROISSY-SAVERNE;;85.0;124.0;
MEUSE-SAVERNE;15.0;51.0;73.0;
AIME LA PLAGNE-BESANCON FRANCHE-COMTE TGV;20.0;78.0;97.0;
LE POULIGUEN-LE CROISIC;;2.9;5.4;
BIARRITZ-BAYONNE;;3.6;6.5;
LILLE FLANDRES-ROUBAIX;;3.7;7.0;
AIME LA PLAGNE-BOURG ST MAURICE;;5.4;7.8;
AIX EN PROVENCE TGV-MARSEILLE ST CHARLES;;6.4;12.6;
MASSY TGV - BAYONNE;25.0;123.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - QUIMPERLE;;47.0;69.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MONTAUBAN VILLE BOURBON - ST PIERRE DES CORPS;25.0;79.0;115.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LA TESTE - POITIERS;;51.0;76.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MORLAIX - PARIS MONTPARNASSE 1 ET 2;20.0;99.0;138.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
DOUAI-ST JEAN DE LUZ CIBOURE;30.0;144.0;174.0;
IRUN-ARRAS;30.0;144.0;174.0;
LILLE EUROPE-SETE;30.0;150.0;188.0;
LILLE FLANDRES-PERPIGNAN;30.0;150.0;188.0;
CASTELNAUDARY-LILLE EUROPE;30.0;150.0;188.0;
ETAPLES LE TOUQUET-PARIS NORD;15.0;66.0;86.0;
AVIGNON TGV-LYON ST EXUPERY;15.0;51.0;68.0;
BESANCON VIOTTE-COLMAR;15.0;46.0;61.0;
CANNES-CHALON SUR SAONE;25.0;116.0;151.0;
TOUL-ST RAPHAEL VALESCURE;25.0;135.0;175.0;
NANCY VILLE-VALENCE TGV;25.0;100.0;128.0;
PARIS AUSTERLITZ-MONTAUBAN VILLE BOURBON;25.0;109.0;142.0;
MANTES LA J. TGV-VALENCE TGV;;107.0;147.0;
AEROPORT CDG 2 TGV ROISSY-NICE VILLE;25.0;132.0;185.0;
PARIS NORD-MOUTIERS SALINS BRIDES;25.0;118.0;159.0;
LANDRY-PARIS GARE DE LYON;25.0;118.0;161.0;
AEROPORT CDG 2 TGV ROISSY-BOURG ST MAURICE;25.0;118.0;161.0;
LANDRY-AEROPORT CDG 2 TGV ROISSY;25.0;118.0;161.0;
PARIS GARE DE LYON-EVIAN LES BAINS;25.0;108.0;152.0;
MARNE LA VALLEE CHESSY-ANNEMASSE;25.0;108.0;152.0;
MARNE LA VALLEE CHESSY-ST GERVAIS LES BAINS LE FAYET;25.0;119.0;163.0;
AEROPORT CDG 2 TGV ROISSY-ST GERVAIS LES BAINS LE FAYET;25.0;119.0;163.0;
PARIS GARE DE LYON-MONTELIMAR;25.0;105.0;144.0;
PARIS EST-BAR LE DUC;15.0;44.0;68.0;
LYON PART DIEU-POITIERS;25.0;96.0;135.0;
AIX EN PROVENCE TGV-VENDOME VILLIERS SUR LOIR;25.0;125.0;167.0;
MULHOUSE VILLE-ALBERTVILLE;25.0;98.0;120.0;
AVIGNON-ECOLE VALENTIN;;91.0;120.0;
LANDRY-ECOLE VALENTIN;;78.0;97.0;
CHAMBÉRY-CHAMBÉRY-LAVAL;25.0;120.0;162.0;
TOURCOING-CROIX WASQUEHAL;;2.7;5.8;
CALAIS VILLE-CALAIS FRETHUN;;3.1;6.2;
CAGNES SUR MER-ANTIBES;;3.5;6.8;
MODANE-ST MICHEL VALLOIRE;;5.3;10.7;
BEZIERS-AGDE;;6.7;10.5;
CULOZ-AIX LES BAINS LE REVARD;;6.7;10.4;
GUINGAMP-PLOUARET TREGOR;;7.9;11.5;
